Rank,Team,Big Chances Missed,Goals,Matches,Country
1,Liverpool,79.0,86.0,38,ENG
2,Manchester City,73.0,96.0,38,ENG
3,Chelsea,73.0,77.0,38,ENG
4,Newcastle United,70.0,85.0,38,ENG
5,Brentford,69.0,56.0,38,ENG
6,Tottenham Hotspur,65.0,74.0,38,ENG
7,Arsenal,63.0,91.0,38,ENG
8,Everton,63.0,40.0,38,ENG
9,Brighton & Hove Albion,61.0,55.0,38,ENG
10,Aston Villa,58.0,76.0,38,ENG
11,Nottingham Forest,51.0,49.0,38,ENG
12,Manchester United,50.0,57.0,38,ENG
13,AFC Bournemouth,49.0,54.0,38,ENG
14,West Ham United,46.0,60.0,38,ENG
15,Burnley,43.0,41.0,38,ENG
16,Wolverhampton Wanderers,42.0,50.0,38,ENG
17,Sheffield United,41.0,35.0,38,ENG
18,Crystal Palace,36.0,57.0,38,ENG
19,Fulham,35.0,55.0,38,ENG
20,Luton Town,27.0,52.0,38,ENG
