Rank,Team,Clearances per Match,Total Clearances,Matches,Country
1,Sheffield United,26.2,997.0,38,ENG
2,Nottingham Forest,23.9,910.0,38,ENG
3,Brentford,22.8,865.0,38,ENG
4,Crystal Palace,22.8,867.0,38,ENG
5,Luton Town,22.8,868.0,38,ENG
6,West Ham United,22.7,862.0,38,ENG
7,Everton,22.1,839.0,38,ENG
8,Manchester United,21.9,833.0,38,ENG
9,Burnley,21.7,823.0,38,ENG
10,AFC Bournemouth,20.7,788.0,38,ENG
11,Wolverhampton Wanderers,20.7,786.0,38,ENG
12,Chelsea,19.2,731.0,38,ENG
13,Fulham,18.8,716.0,38,ENG
14,Tottenham Hotspur,17.2,652.0,38,ENG
15,Newcastle United,17.1,651.0,38,ENG
16,Brighton & Hove Albion,15.1,572.0,38,ENG
17,Liverpool,14.9,565.0,38,ENG
18,Aston Villa,14.8,562.0,38,ENG
19,Arsenal,12.7,481.0,38,ENG
20,Manchester City,11.1,420.0,38,ENG
