Rank,Team,Expected Goals,Goals,Matches,Country
1,Liverpool,89.4,86.0,38,ENG
2,Manchester City,81.9,96.0,38,ENG
3,Arsenal,77.4,91.0,38,ENG
4,Newcastle United,77.1,85.0,38,ENG
5,Chelsea,75.3,77.0,38,ENG
6,Tottenham Hotspur,69.0,74.0,38,ENG
7,Aston Villa,64.7,76.0,38,ENG
8,Brentford,59.8,56.0,38,ENG
9,Brighton & Hove Albion,58.0,55.0,38,ENG
10,Manchester United,56.9,57.0,38,ENG
11,AFC Bournemouth,56.7,54.0,38,ENG
12,Everton,54.9,40.0,38,ENG
13,West Ham United,52.9,60.0,38,ENG
14,Fulham,51.6,55.0,38,ENG
15,Nottingham Forest,50.4,49.0,38,ENG
16,Crystal Palace,49.1,57.0,38,ENG
17,Wolverhampton Wanderers,47.6,50.0,38,ENG
18,Luton Town,43.4,52.0,38,ENG
19,Burnley,40.9,41.0,38,ENG
20,Sheffield United,39.0,35.0,38,ENG
