Rank,Team,Penalties Won,Conversion Rate (%),Matches,Country
1,Chelsea,12.0,91.7,38,ENG
2,Arsenal,10.0,100.0,38,ENG
3,Manchester City,10.0,90.0,38,ENG
4,Newcastle United,9.0,88.9,38,ENG
5,Liverpool,9.0,66.7,38,ENG
6,Manchester United,7.0,85.7,38,ENG
7,Brighton & Hove Albion,6.0,83.3,38,ENG
8,Luton Town,5.0,100.0,38,ENG
8,Sheffield United,5.0,100.0,38,ENG
10,West Ham United,5.0,80.0,38,ENG
11,Aston Villa,4.0,100.0,38,ENG
11,Crystal Palace,4.0,100.0,38,ENG
11,Wolverhampton Wanderers,4.0,100.0,38,ENG
14,Brentford,3.0,100.0,38,ENG
14,Burnley,3.0,100.0,38,ENG
16,AFC Bournemouth,3.0,66.7,38,ENG
16,Everton,3.0,66.7,38,ENG
18,Fulham,2.0,100.0,38,ENG
18,Tottenham Hotspur,2.0,100.0,38,ENG
20,Nottingham Forest,1.0,100.0,38,ENG
