Rank,Team,Saves per Match,Total Saves,Matches,Country
1,West Ham United,4.5,171.0,38,ENG
2,Burnley,4.5,170.0,38,ENG
2,Sheffield United,4.5,170.0,38,ENG
4,Manchester United,3.9,149.0,38,ENG
5,Luton Town,3.9,147.0,38,ENG
6,Wolverhampton Wanderers,3.7,142.0,38,ENG
7,Newcastle United,3.6,135.0,38,ENG
8,Fulham,3.5,134.0,38,ENG
9,AFC Bournemouth,3.5,133.0,38,ENG
10,Chelsea,3.4,128.0,38,ENG
11,Brentford,3.2,121.0,38,ENG
11,Everton,3.2,121.0,38,ENG
13,Aston Villa,3.1,116.0,38,ENG
14,Liverpool,2.9,111.0,38,ENG
15,Tottenham Hotspur,2.9,110.0,38,ENG
16,Brighton & Hove Albion,2.8,108.0,38,ENG
17,Nottingham Forest,2.7,103.0,38,ENG
18,Crystal Palace,2.6,99.0,38,ENG
19,Manchester City,2.0,77.0,38,ENG
20,Arsenal,1.4,55.0,38,ENG
