Rank,Team,FotMob Team Rating,Matches,Country
1,Manchester City,7.37,38,ENG
2,Liverpool,7.19,38,ENG
3,Arsenal,7.18,38,ENG
4,Tottenham Hotspur,7.07,38,ENG
5,Chelsea,7.02,38,ENG
5,Newcastle United,7.02,38,ENG
7,Manchester United,6.96,38,ENG
8,Crystal Palace,6.94,38,ENG
9,Everton,6.92,38,ENG
10,Aston Villa,6.91,38,ENG
11,West Ham United,6.89,38,ENG
12,Wolverhampton Wanderers,6.86,38,ENG
13,Fulham,6.82,38,ENG
13,Brentford,6.82,38,ENG
15,AFC Bournemouth,6.81,38,ENG
16,Brighton & Hove Albion,6.8,38,ENG
17,Nottingham Forest,6.78,38,ENG
18,Luton Town,6.69,38,ENG
19,Burnley,6.64,38,ENG
20,Sheffield United,6.49,38,ENG
