Rank,Team,Successful Tackles per Match,Tackle Success (%),Matches,Country
1,Crystal Palace,12.2,58.9,38,ENG
2,Tottenham Hotspur,11.9,62.3,38,ENG
3,Everton,11.6,59.5,38,ENG
4,Nottingham Forest,11.3,58.9,38,ENG
5,Wolverhampton Wanderers,11.3,58.2,38,ENG
6,West Ham United,11.2,62.3,38,ENG
7,Liverpool,11.0,61.7,38,ENG
8,Manchester United,10.8,60.5,38,ENG
9,AFC Bournemouth,10.8,59.2,38,ENG
10,Sheffield United,10.7,57.1,38,ENG
11,Brentford,10.5,58.9,38,ENG
12,Newcastle United,10.3,59.2,38,ENG
13,Fulham,10.1,56.6,38,ENG
14,Chelsea,9.9,56.7,38,ENG
15,Luton Town,9.7,56.3,38,ENG
16,Brighton & Hove Albion,9.6,56.8,38,ENG
17,Arsenal,9.2,57.0,38,ENG
18,Burnley,9.0,56.3,38,ENG
19,Aston Villa,8.2,56.9,38,ENG
20,Manchester City,8.0,59.0,38,ENG
